鄂尔多斯|150600|150000|鄂爾多斯
东胜|150602|150600|東勝
康巴什|150603|150600|康巴什
达拉特|150621|150600|達拉特
准格尔|150622|150600|準格爾
鄂托克前|150623|150600|鄂托克前
鄂托克|150624|150600|鄂托克
杭锦|150625|150600|杭錦
乌审|150626|150600|烏審
伊金霍洛|150627|150600|伊金霍洛
其它|150628|150600|其它
呼伦贝尔|150700|150000|呼倫貝爾
海拉尔|150702|150700|海拉爾
扎赉诺尔|150703|150700|扎賚諾爾
阿荣|150721|150700|阿榮
莫力达瓦|150722|150700|莫力達瓦
鄂伦春|150723|150700|鄂倫春
鄂温克族|150724|150700|鄂溫克族
陈巴尔虎|150725|150700|陳巴爾虎
新巴尔虎左|150726|150700|新巴爾虎左
新巴尔虎右|150727|150700|新巴爾虎右
满洲里|150781|150700|滿洲里
牙克石|150782|150700|牙克石
扎兰屯|150783|150700|扎蘭屯
额尔古纳|150784|150700|額爾古納
根河|150785|150700|根河
其它|150786|150700|其它
巴彦淖尔|150800|150000|巴彥淖爾
临河|150802|150800|臨河
五原|150821|150800|五原
磴口|150822|150800|磴口
乌拉特前|150823|150800|烏拉特前
乌拉特中|150824|150800|烏拉特中
乌拉特后|150825|150800|烏拉特後
杭锦后|150826|150800|杭錦後
其它|150827|150800|其它
乌兰察布|150900|150000|烏蘭察布
集宁|150902|150900|集寧
卓资|150921|150900|卓資
化德|150922|150900|化德
商都|150923|150900|商都
兴和|150924|150900|興和
凉城|150925|150900|涼城
察哈尔右翼前|150926|150900|察哈爾右翼前
察哈尔右翼中|150927|150900|察哈爾右翼中
察哈尔右翼后|150928|150900|察哈爾右翼後
四子王|150929|150900|四子王
丰镇|150981|150900|豐鎮
其它|150982|150900|其它
兴安盟|152200|150000|興安盟
乌兰浩特|152201|152200|烏蘭浩特
阿尔山|152202|152200|阿爾山
科尔沁右翼前|152221|152200|科爾沁右翼前
科尔沁右翼中|152222|152200|科爾沁右翼中
扎赉特|152223|152200|扎賚特
突泉|152224|152200|突泉
其它|152225|152200|其它
锡林郭勒盟|152500|150000|錫林郭勒盟
二连浩特|152501|152500|二連浩特
锡林浩特|152502|152500|錫林浩特
阿巴嘎|152522|152500|阿巴嘎
苏尼特左|152523|152500|蘇尼特左
苏尼特右|152524|152500|蘇尼特右
东乌珠穆沁|152525|152500|東烏珠穆沁
西乌珠穆沁|152526|152500|西烏珠穆沁
太仆寺|152527|152500|太僕寺
镶黄|152528|152500|鑲黃
正镶白|152529|152500|正鑲白
正蓝|152530|152500|正藍
多伦|152531|152500|多倫
其它|152532|152500|其它
阿拉善盟|152900|150000|阿拉善盟
阿拉善左|152921|152900|阿拉善左
阿拉善右|152922|152900|阿拉善右
额济纳|152923|152900|額濟納
其它|152924|152900|其它
垦丁|204152|710000|墾丁
板桥|204155|710000|板橋
马祖|204157|710000|馬祖
新营|204158|710000|新營
大溪|204161|710000|大溪
嘉明湖|204166|710000|嘉明湖
辽宁|210000|100000|遼寧
沈阳|210100|210000|瀋陽
和平|210102|210100|和平
沈河|210103|210100|沈河
大东|210104|210100|大東
皇姑|210105|210100|皇姑
铁西|210106|210100|鐵西
苏家屯|210111|210100|蘇家屯
浑南|210112|210100|渾南
新城子|210113|210100|新城子
于洪|210114|210100|於洪
辽中|210122|210100|遼中
康平|210123|210100|康平
法库|210124|210100|法庫
新民|210181|210100|新民
浑南新区|210182|210100|渾南新區
张士开发区|210183|210100|張士開發區
沈北新区|210184|210100|沈北新區
其它|210185|210100|其它
大连|210200|210000|大連
中山|210202|210200|中山
西岗|210203|210200|西崗
沙河口|210204|210200|沙河口
甘井子|210211|210200|甘井子
旅顺口|210212|210200|旅順口
金州|210213|210200|金州
长海|210224|210200|長海
开发区|210251|210200|開發區
瓦房店|210281|210200|瓦房店
普兰店|210282|210200|普蘭店
庄河|210283|210200|莊河
岭前|210297|210200|嶺前
其它|210298|210200|其它
鞍山|210300|210000|鞍山
铁东|210302|210300|鐵東
铁西|210303|210300|鐵西
立山|210304|210300|立山
千山|210311|210300|千山
台安|210321|210300|台安
岫岩|210323|210300|岫岩
高新区|210351|210300|高新區
海城|210381|210300|海城
其它|210382|210300|其它
抚顺|210400|210000|撫順
新抚|210402|210400|新撫
东洲|210403|210400|東洲
望花|210404|210400|望花
顺城|210411|210400|順城
抚顺|210421|210400|撫順
新宾|210422|210400|新賓
清原|210423|210400|清原
其它|210424|210400|其它
本溪|210500|210000|本溪
平山|210502|210500|平山
溪湖|210503|210500|溪湖
明山|210504|210500|明山
南芬|210505|210500|南芬
本溪|210521|210500|本溪
桓仁|210522|210500|桓仁
其它|210523|210500|其它
丹东|210600|210000|丹東
元宝|210602|210600|元寶
振兴|210603|210600|振興
振安|210604|210600|振安
宽甸|210624|210600|寬甸
东港|210681|210600|東港
凤城|210682|210600|鳳城
其它|210683|210600|其它
锦州|210700|210000|錦州
古塔|210702|210700|古塔
凌河|210703|210700|凌河
太和|210711|210700|太和
黑山|210726|210700|黑山
义县|210727|210700|義縣
凌海|210781|210700|凌海
北镇|210782|210700|北鎮
其它|210783|210700|其它
营口|210800|210000|營口
站前|210802|210800|站前
西市|210803|210800|西市
鲅鱼圈|210804|210800|鮁魚圈
老边|210811|210800|老邊
盖州|210881|210800|蓋州
大石桥|210882|210800|大石橋
其它|210883|210800|其它
阜新|210900|210000|阜新
海州|210902|210900|海州
新邱|210903|210900|新邱
太平|210904|210900|太平
清河门|210905|210900|清河門
细河|210911|210900|細河
阜新|210921|210900|阜新
彰武|210922|210900|彰武
其它|210923|210900|其它
辽阳|211000|210000|遼陽
白塔|211002|211000|白塔
文圣|211003|211000|文聖
宏伟|211004|211000|宏偉
弓长岭|211005|211000|弓長嶺
太子河|211011|211000|太子河
辽阳|211021|211000|遼陽
灯塔|211081|211000|燈塔
其它|211082|211000|其它
盘锦|211100|210000|盤錦
双台子|211102|211100|雙台子
兴隆台|211103|211100|興隆台
大洼|211121|211100|大窪
盘山|211122|211100|盤山
其它|211123|211100|其它
铁岭|211200|210000|鐵嶺
银州|211202|211200|銀州
清河|211204|211200|清河
铁岭|211221|211200|鐵嶺
西丰|211223|211200|西豐
昌图|211224|211200|昌圖
调兵山|211281|211200|調兵山
开原|211282|211200|開原
其它|211283|211200|其它
朝阳|211300|210000|朝陽
双塔|211302|211300|雙塔
龙城|211303|211300|龍城
朝阳|211321|211300|朝陽
建平|211322|211300|建平
喀喇沁|211324|211300|喀喇沁
北票|211381|211300|北票
凌源|211382|211300|凌源
其它|211383|211300|其它
葫芦岛|211400|210000|葫蘆島
连山|211402|211400|連山
龙港|211403|211400|龍港
南票|211404|211400|南票
绥中|211421|211400|綏中
建昌|211422|211400|建昌
兴城|211481|211400|興城
其它|211482|211400|其它
吉林|220000|100000|吉林
长春|220100|220000|長春
南关|220102|220100|南關
宽城|220103|220100|寬城
朝阳|220104|220100|朝陽
二道|220105|220100|二道
绿园|220106|220100|綠園
